Sample2,,denaturata 1M,,denaturata 2M,,denaturata 4M,,denaturata 3M,,denaturata 5M,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
385.0700073,172.3248749,385.0700073,223.4795685,385.0700073,248.4992065,385.0700073,513.0841064,385.0700073,428.0487976,385.0700073,541.0975952,
386,165.6438446,386,221.301651,386,237.9741058,386,506.7901001,386,416.790863,386,527.3857422,
387.0700073,159.0741272,387.0700073,206.737854,387.0700073,231.2310791,387.0700073,484.8526917,387.0700073,406.7101135,387.0700073,513.5078125,
388,155.8623657,388,196.882309,388,219.5533905,388,475.0325012,388,391.8179321,388,496.8463135,
389.0700073,143.8686981,389.0700073,189.5167694,389.0700073,206.3153229,389.0700073,460.0317688,389.0700073,382.2247314,389.0700073,474.8175354,
390,142.5570831,390,181.4843597,390,199.0748596,390,443.618103,390,367.0059204,390,467.9054871,
391.0700073,128.8013306,391.0700073,174.8990479,391.0700073,190.368042,391.0700073,429.8074036,391.0700073,351.1259155,391.0700073,441.0464783,
392,126.2818146,392,168.1847076,392,190.2906342,392,421.0249939,392,346.594574,392,441.2094116,
393.0700073,121.737709,393.0700073,158.242569,393.0700073,179.9745178,393.0700073,403.6311646,393.0700073,338.9272766,393.0700073,416.3648987,
394,114.2034073,394,151.8799438,394,171.7023315,394,386.0493164,394,317.6611633,394,406.6193848,
395.0700073,110.2759781,395.0700073,144.8496094,395.0700073,160.401001,395.0700073,377.5445251,395.0700073,312.0653076,395.0700073,394.486145,
396,110.7966461,396,140.8503876,396,159.2738495,396,365.8651123,396,304.8815002,396,380.9271545,
397.0700073,99.24629974,397.0700073,130.1252594,397.0700073,152.9082184,397.0700073,345.7071838,397.0700073,294.8774414,397.0700073,365.8984375,
398,96.11756134,398,128.4536896,398,146.8486328,398,348.5722351,398,288.8770142,398,360.1868591,
399.0700073,90.14631653,399.0700073,124.1060104,399.0700073,139.4192505,399.0700073,332.3763123,399.0700073,274.6958008,399.0700073,346.7157288,
400,90.26385498,400,113.4094162,400,132.6700745,400,324.3674622,400,263.2035522,400,328.5532837,
401.0700073,85.40652466,401.0700073,111.8642349,401.0700073,129.0556641,401.0700073,312.1682739,401.0700073,250.3917847,401.0700073,320.40448,
402,82.23371887,402,109.8760834,402,126.2872086,402,296.0003967,402,246.546524,402,308.8735352,
403.0700073,77.1305542,403.0700073,104.6642151,403.0700073,120.3800888,403.0700073,281.2579651,403.0700073,236.9912872,403.0700073,295.3876343,
404,74.48838806,404,98.67370605,404,117.0728989,404,277.0823669,404,225.2319489,404,288.0698853,
405.0700073,68.28543091,405.0700073,95.87921143,405.0700073,106.8402863,405.0700073,263.2799988,405.0700073,220.7148132,405.0700073,279.6792603,
406,65.41762543,406,89.87660217,406,104.5916901,406,260.8956299,406,211.0414124,406,268.9167786,
407.0700073,63.64212036,407.0700073,87.04408264,407.0700073,96.27500916,407.0700073,254.3993225,407.0700073,202.3358154,407.0700073,262.3450012,
408,62.27087021,408,82.32675934,408,99.25504303,408,241.5138245,408,196.5428009,408,244.7098236,
409.0700073,62.36069107,409.0700073,80.96199036,409.0700073,92.91197968,409.0700073,236.9659271,409.0700073,188.6048126,409.0700073,241.2412872,
410,57.55091095,410,76.55615234,410,84.05782318,410,224.2912903,410,185.3606415,410,231.0049133,
411.0700073,53.58490753,411.0700073,72.79891968,411.0700073,83.69299316,411.0700073,213.177124,411.0700073,173.1211243,411.0700073,218.7792053,
412,53.45640564,412,68.00935364,412,78.29203033,412,207.5596466,412,169.0012207,412,217.2388153,
413.0700073,47.67375183,413.0700073,67.11521149,413.0700073,75.76256561,413.0700073,197.6232758,413.0700073,161.8811188,413.0700073,200.5467987,
414,46.82403946,414,61.49489975,414,74.13082886,414,194.0544586,414,158.7771759,414,201.2725525,
415.0700073,44.36257935,415.0700073,62.56735992,415.0700073,73.02771759,415.0700073,184.447998,415.0700073,150.2783966,415.0700073,192.5948029,
416,43.66882324,416,57.43078613,416,68.59267426,416,178.322525,416,144.1881866,416,181.1190186,
