rodamina_526nm		rodamina_450nm		rodamina_480nm		rodamina_510nm		rodamina_530nm		rodamina_520nm		rodamina_510nm		rodamina_460nm	
Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)
585.8800049	359.4659729	511.0400085	0.8152728081	541.039978	205.6716766	561.0200195	487.7349854	591.0200195	298.3932495	581.0200195	397.4674683	571.039978	461.9906616	521.039978	5.680680752
586.9099731	348.6790161	511.9400024	0.8255081773	541.9400024	221.1895294	562.0499878	473.7974243	592.0499878	285.3666077	582.0499878	379.161377	571.9400024	444.0877075	521.9400024	6.661093712
587.9400024	335.7846375	512.9799805	0.8159934878	542.9799805	236.7288818	562.9400024	461.7539978	592.9400024	280.2591858	582.9400024	369.3222046	572.9799805	429.0535278	522.9799805	7.767503262
588.9699707	323.4324341	514.0200195	1.165341377	544.0200195	252.2511749	563.9699707	445.6847229	593.9699707	268.7921753	583.9699707	356.853302	574.0200195	414.9284058	524.0200195	9.423941612
589.8499756	313.1468506	515.0700073	1.381263137	545.0700073	267.8476563	565	434.9202576	595	261.1607056	585	342.3161316	575.0700073	396.9021912	525.0700073	10.93933487
590.8800049	303.7322693	515.9699707	1.925350428	545.9699707	277.096283	566.0200195	417.4765015	596.0200195	253.9215088	586.0200195	328.313385	575.9699707	387.9797058	525.9699707	12.50678253
591.9099731	298.7388611	517.0100098	1.774874806	547.0100098	292.6046753	567.0499878	404.045105	597.0499878	244.4257813	587.0499878	318.9942322	577.0100098	369.442749	527.0100098	14.8624897
592.9400024	284.1027222	518.0499878	2.493590355	548.0499878	304.1944885	567.9400024	390.3780823	597.9400024	237.9987488	587.9400024	310.0543518	578.0499878	349.519989	528.0499878	17.3413353
593.9699707	275.0617676	518.9500122	2.597222805	548.9500122	311.2719421	568.9699707	379.5600586	598.9699707	229.6867065	588.9699707	300.7547607	578.9500122	341.7822571	528.9500122	20.13354301
594.8499756	268.1976929	520	3.278356075	550	321.1913452	570	362.3630981	600	220.7097626	590	288.8732605	580	325.3297424	530	23.35863304
