485 V,,510 V,,535 V,,560 V,,585 V,,610 V,,635 V,,660 V,,685 V,,700 V,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
560.8800049,24.64684105,560.8800049,39.65813446,560.8800049,67.43800354,560.8800049,101.9222717,560.8800049,152.5621338,560.8800049,235.9230499,560.8800049,339.6610718,560.8800049,472.5649109,560.8800049,693.3943481,560.8800049,843.7752686,
561.9099731,23.89117432,561.9099731,38.36450195,561.9099731,65.99635315,561.9099731,99.5329895,561.9099731,147.9883881,561.9099731,228.9768677,561.9099731,325.3123779,561.9099731,460.4716187,561.9099731,673.2816162,561.9099731,809.8143921,
562.9400024,23.24858093,562.9400024,37.28079605,562.9400024,64.32350159,562.9400024,95.92771149,562.9400024,143.6459503,562.9400024,221.1486664,562.9400024,313.6051331,562.9400024,437.9008789,562.9400024,653.8320923,562.9400024,786.5839233,
563.9699707,22.34531593,563.9699707,35.84442139,563.9699707,61.7469902,563.9699707,93.08165741,563.9699707,138.7067261,563.9699707,213.6415863,563.9699707,305.9746399,563.9699707,429.2680969,563.9699707,631.5025635,563.9699707,758.052063,
564.8499756,21.92864609,564.8499756,34.39066696,564.8499756,59.45231628,564.8499756,89.99273682,564.8499756,134.6122131,564.8499756,206.3977814,564.8499756,295.9959717,564.8499756,413.1070557,564.8499756,610.222229,564.8499756,730.49646,
565.8800049,20.71319389,565.8800049,33.71787262,565.8800049,57.33448029,565.8800049,86.20406342,565.8800049,128.6256256,565.8800049,198.0464478,565.8800049,284.2954712,565.8800049,396.0731812,565.8800049,579.1134033,565.8800049,704.0284424,
566.9099731,20.09267426,566.9099731,32.30703354,566.9099731,54.81647873,566.9099731,83.40177917,566.9099731,123.8511658,566.9099731,192.7053986,566.9099731,274.316925,566.9099731,380.8416138,566.9099731,560.2026367,566.9099731,679.027832,
567.9400024,18.9077282,567.9400024,30.51193047,567.9400024,53.20512772,567.9400024,80.34870911,567.9400024,116.9165802,567.9400024,183.9662476,567.9400024,262.0006409,567.9400024,364.2393188,567.9400024,544.0422974,567.9400024,654.675354,
568.9699707,18.2142849,568.9699707,29.58126831,568.9699707,50.79742432,568.9699707,76.2753067,568.9699707,113.3305511,568.9699707,175.9092255,568.9699707,251.444519,568.9699707,356.8870239,568.9699707,513.1314087,568.9699707,622.9300537,
569.8499756,17.70651054,569.8499756,28.74188614,569.8499756,49.1481781,569.8499756,74.30596161,569.8499756,110.3653717,569.8499756,171.0254211,569.8499756,242.0364227,569.8499756,340.8509827,569.8499756,509.5027161,569.8499756,612.7545166,
570.8900146,16.73045731,570.8900146,27.96019363,570.8900146,47.63101959,570.8900146,70.53585815,570.8900146,105.5044022,570.8900146,164.144455,570.8900146,234.1846008,570.8900146,327.1891174,570.8900146,487.663269,570.8900146,576.7224121,
571.9400024,16.37486458,571.9400024,26.16184616,571.9400024,44.83501053,571.9400024,68.85739899,571.9400024,100.8722305,571.9400024,157.6834106,571.9400024,224.2106476,571.9400024,313.376709,571.9400024,463.1968079,571.9400024,560.1517334,
572.8300171,15.67497063,572.8300171,25.70921898,572.8300171,43.4012413,572.8300171,66.12390137,572.8300171,97.19099426,572.8300171,153.2647552,572.8300171,216.1585236,572.8300171,302.908905,572.8300171,448.2114563,572.8300171,536.0803833,
