Sample2,,Sample2,,Sample2,,Sample2,,Sample2,,Sample2,,Sample2,,Sample2,,Sample2,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
544.9199829,796.6517944,544.9199829,610.8378296,544.9199829,531.9667358,544.9199829,292.4699402,544.9199829,241.7339325,544.9199829,176.2094421,544.9199829,116.0352097,544.9199829,53.8307724,544.9199829,26.19313622,
545.9699707,836.9718628,545.9699707,634.8783569,545.9699707,555.7266235,545.9699707,302.4377136,545.9699707,251.0170898,545.9699707,181.3034363,545.9699707,119.6621246,545.9699707,55.74652481,545.9699707,26.79027367,
546.8599854,866.2338867,546.8599854,655.1749878,546.8599854,567.1681519,546.8599854,307.8165283,546.8599854,256.1622314,546.8599854,185.5500793,546.8599854,121.9871368,546.8599854,56.18676758,546.8599854,27.48422241,
547.9099731,885.5690308,547.9099731,669.4441528,547.9099731,579.5096436,547.9099731,316.0228882,547.9099731,259.428833,547.9099731,188.8540039,547.9099731,124.5187149,547.9099731,57.56791687,547.9099731,28.08776855,
548.9500122,904.534729,548.9500122,685.2327881,548.9500122,588.9993896,548.9500122,319.1108398,548.9500122,262.3674011,548.9500122,190.4291382,548.9500122,126.0299835,548.9500122,58.0731163,548.9500122,28.57033539,
549.8499756,924.3618774,549.8499756,694.3322754,549.8499756,597.3358765,549.8499756,322.809845,549.8499756,264.4412537,549.8499756,191.956543,549.8499756,125.7723389,549.8499756,58.24923325,549.8499756,28.34626579,
550.8900146,939.6830444,550.8900146,706.7767944,550.8900146,606.4124146,550.8900146,323.190094,550.8900146,267.9278564,550.8900146,192.6897278,550.8900146,126.0556259,550.8900146,58.37420654,550.8900146,28.54843712,
551.9400024,945.2452393,551.9400024,704.5361328,551.9400024,607.0380249,551.9400024,322.7998657,551.9400024,265.2349243,551.9400024,193.0240021,551.9400024,126.8011475,551.9400024,58.42890167,551.9400024,28.26608849,
552.8300171,944.6429443,552.8300171,703.7050781,552.8300171,602.7668457,552.8300171,319.1857605,552.8300171,263.6234741,552.8300171,192.9381714,552.8300171,126.7888718,552.8300171,57.54748917,552.8300171,28.34651947,
553.8800049,942.5951538,553.8800049,702.4191895,553.8800049,601.1898193,553.8800049,318.6054382,553.8800049,263.3552246,553.8800049,189.549057,553.8800049,124.2388763,553.8800049,57.96603775,553.8800049,28.08539772,
554.9199829,937.4688721,554.9199829,696.6296387,554.9199829,590.4636841,554.9199829,312.6214294,554.9199829,257.1747437,554.9199829,186.7944946,554.9199829,122.2620468,554.9199829,56.66261292,554.9199829,27.7226181,
555.9699707,926.7754517,555.9699707,689.0488281,555.9699707,581.6258545,555.9699707,310.9501038,555.9699707,254.7753448,555.9699707,184.5303497,555.9699707,120.7492371,555.9699707,55.13473892,555.9699707,27.1216774,
556.8599854,916.0043335,556.8599854,677.6914673,556.8599854,579.1911621,556.8599854,304.9642639,556.8599854,250.9996643,556.8599854,181.3847046,556.8599854,119.3756485,556.8599854,54.40999603,556.8599854,26.55670357,
557.9099731,900.6154785,557.9099731,664.9547119,557.9099731,565.5529175,557.9099731,298.1514282,557.9099731,245.5602264,557.9099731,177.0399475,557.9099731,116.1134644,557.9099731,53.7563324,557.9099731,25.76985359,
558.9500122,879.6064453,558.9500122,643.5195923,558.9500122,554.6292114,558.9500122,290.0853271,558.9500122,240.8009796,558.9500122,173.6403198,558.9500122,113.6462173,558.9500122,51.80491638,558.9500122,25.20776749,
559.8499756,865.5356445,559.8499756,638.7693481,559.8499756,538.6075439,559.8499756,281.3298035,559.8499756,234.769516,559.8499756,169.8434906,559.8499756,111.8051224,559.8499756,51.18877792,559.8499756,24.48483849,
560.8800049,839.7146606,560.8800049,619.2647095,560.8800049,525.9718628,560.8800049,273.5369568,560.8800049,228.0219727,560.8800049,164.3665161,560.8800049,108.2648392,560.8800049,49.56268311,560.8800049,24.00416756,
561.9099731,821.0939941,561.9099731,593.4404907,561.9099731,507.5274048,561.9099731,263.6116638,561.9099731,221.4715271,561.9099731,159.1532288,561.9099731,105.4960709,561.9099731,47.83863831,561.9099731,23.40838432,
562.9400024,790.6994019,562.9400024,584.0461426,562.9400024,497.3097839,562.9400024,260.4287109,562.9400024,214.5983124,562.9400024,154.6407318,562.9400024,102.1086349,562.9400024,46.19192886,562.9400024,22.56279182,
563.9699707,767.77948,563.9699707,567.7221069,563.9699707,474.9658813,563.9699707,250.6771393,563.9699707,207.0576477,563.9699707,148.6947937,563.9699707,98.01169586,563.9699707,44.88541412,563.9699707,21.89611816,
